n_gen|n_ind|mutate_rate,it,gen,best
50|20|0.01,3,43,364.0
50|20|0.01,3,44,364.0
50|20|0.01,3,45,364.0
50|20|0.01,3,46,364.0
50|20|0.01,3,47,364.0
50|20|0.01,3,48,364.0
50|20|0.01,3,49,364.0
50|20|0.01,4,0,588.0
50|20|0.01,4,1,570.0
50|20|0.01,4,2,569.0
50|20|0.01,4,3,507.0
50|20|0.01,4,4,507.0
50|20|0.01,4,5,501.0
50|20|0.01,4,6,488.0
50|20|0.01,4,7,467.0
50|20|0.01,4,8,454.0
50|20|0.01,4,9,454.0
50|20|0.01,4,10,454.0
50|20|0.01,4,11,454.0
50|20|0.01,4,12,445.0
50|20|0.01,4,13,445.0
50|20|0.01,4,14,445.0
50|20|0.01,4,15,439.0
50|20|0.01,4,16,439.0
50|20|0.01,4,17,439.0
50|20|0.01,4,18,439.0
50|20|0.01,4,19,439.0
50|20|0.01,4,20,439.0
50|20|0.01,4,21,439.0
50|20|0.01,4,22,439.0
50|20|0.01,4,23,439.0
50|20|0.01,4,24,439.0
50|20|0.01,4,25,439.0
50|20|0.01,4,26,439.0
50|20|0.01,4,27,439.0
50|20|0.01,4,28,439.0
50|20|0.01,4,29,439.0
50|20|0.01,4,30,439.0
50|20|0.01,4,31,439.0
50|20|0.01,4,32,439.0
50|20|0.01,4,33,439.0
50|20|0.01,4,34,439.0
50|20|0.01,4,35,439.0
50|20|0.01,4,36,439.0
50|20|0.01,4,37,439.0
50|20|0.01,4,38,439.0
50|20|0.01,4,39,439.0
50|20|0.01,4,40,439.0
50|20|0.01,4,41,439.0
50|20|0.01,4,42,439.0
50|20|0.01,4,43,439.0
50|20|0.01,4,44,439.0
50|20|0.01,4,45,439.0
50|20|0.01,4,46,439.0
50|20|0.01,4,47,439.0
50|20|0.01,4,48,439.0
50|20|0.01,4,49,439.0
50|20|0.01,5,0,556.0
50|20|0.01,5,1,556.0
50|20|0.01,5,2,556.0
50|20|0.01,5,3,534.0
50|20|0.01,5,4,485.0
50|20|0.01,5,5,481.0
50|20|0.01,5,6,481.0
50|20|0.01,5,7,481.0
50|20|0.01,5,8,465.0
50|20|0.01,5,9,465.0
50|20|0.01,5,10,465.0
50|20|0.01,5,11,465.0
50|20|0.01,5,12,463.0
50|20|0.01,5,13,463.0
50|20|0.01,5,14,463.0
50|20|0.01,5,15,445.0
50|20|0.01,5,16,445.0
